ELAN Touchpad 11.15.0.18_X64                                                                         - X64 - 11.15.0.18
Git version 2.16.2                                                                                   - X64 - 2.16.2
Greenshot 1.2.10.6                                                                                   - X64 - 1.2.10.6
MATLAB R2017b                                                                                        - X64 - 9.3
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                          - X64 - 10.0.50903
Mozilla Firefox 62.0.3 (x64 en-US)                                                                   - X64 - 62.0.3
Mozilla Maintenance Service                                                                          - X64 - 53.0.2
Microsoft Office Professional Plus 2013                                                              - X64 - 15.0.4569.1506
WinRAR 5.50 (64-bit)                                                                                 - X64 - 5.50.0
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                                          - X64 - 10.0.40219
Java 7 Update 80 (64-bit)                                                                            - X64 - 7.0.800
Java 8 Update 152 (64-bit)                                                                           - X64 - 8.0.1520.16
Go Programming Language amd64 go1.10                                                                 - X64 - 1.10
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161                                       - X64 - 9.0.30729.6161
Java SE Development Kit 8 Update 152 (64-bit)                                                        - X64 - 8.0.1520.16
Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.10.25008                                          - X64 - 14.10.25008
Microsoft Office Professional Plus 2013                                                              - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3191872) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3172545) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Office 2013 (KB3039798) 64-Bit Edition                                 - X64 - 
Update for Microsoft Office 2013 (KB3114499) 64-Bit Edition                                          - X64 - 
Update for Microsoft Outlook Social Connector 2013 (KB3054854) 64-Bit Edition                        - X64 - 
Update for Microsoft Office 2013 (KB4022233) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3085565) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3114488) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB2760371) 64-Bit Edition                                          - X64 - 
Update for Microsoft OneDrive for Business (KB4022226) 64-Bit Edition                                - X64 - 
Security Update for Microsoft Access 2013 (KB4018351) 64-Bit Edition                                 - X64 - 
Update for Microsoft Office 2013 (KB3101503) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Office 2013 (KB2910941) 64-Bit Edition                                 - X64 - 
Update for Microsoft Publisher 2013 (KB3114329) 64-Bit Edition                                       - X64 - 
